# Battery Design Quick Reference
# Student:,"Acharya, Akshay"
# Generated:,2026-05-06 21:52

# MATERIALS
Code,Element_Name,Symbol,E_standard_V,Element_MW_g_per_mol,Use_as_ANODE,Compound_Formula,Compound_MW_g_per_mol,Use_as_CATHODE,Half_Reaction_reduction,n_electrons
Na,Sodium,Na,-2.71,22.99,"Na metal, elemental",NaCl,58.443,Na⁺ sourced from NaCl solution,Na⁺(aq) + e⁻ → Na(s),1
Cu,Copper,Cu,0.34,63.546,"Cu metal, elemental",CuSO₄,159.609,Cu²⁺ sourced from CuSO₄ solution,Cu²⁺(aq) + 2e⁻ → Cu(s),2
Ag,Silver,Ag,0.8,107.868,"Ag metal, elemental",AgNO₃,169.872,Ag⁺ sourced from AgNO₃ solution,Ag⁺(aq) + e⁻ → Ag(s),1
Fe,Iron,Fe,-0.44,55.845,"Fe metal, elemental",FeSO₄,151.908,Fe²⁺ sourced from FeSO₄ solution,Fe²⁺(aq) + 2e⁻ → Fe(s),2

# ALL 12 CELL COMBINATIONS
Anode,Cathode,E_cell_V,Cell_Type,n_electrons,Anode_coeff,Cathode_coeff,Active_mass_g_per_mol,Capacity_mAh_per_kg,Energy_density_Wh_per_kg
Na,Ag,3.51,Galvanic,1,1,1,192.862,138967.0,487.8
Na,Cu,3.05,Galvanic,2,2,1,205.589,260728.0,795.2
Na,Fe,2.27,Galvanic,2,2,1,197.888,270874.0,614.9
Fe,Ag,1.24,Galvanic,2,1,2,395.589,135501.0,168.0
Fe,Cu,0.78,Galvanic,2,1,1,215.454,248790.0,194.1
Cu,Ag,0.46,Galvanic,2,1,2,403.29,132914.0,61.1
Ag,Cu,-0.46,Electrolytic,,,,,,
Cu,Fe,-0.78,Electrolytic,,,,,,
Ag,Fe,-1.24,Electrolytic,,,,,,
Fe,Na,-2.27,Electrolytic,,,,,,
Cu,Na,-3.05,Electrolytic,,,,,,
Ag,Na,-3.51,Electrolytic,,,,,,

# APPLICATIONS
Application,Target_Voltage_V,Current_mA,Runtime_h,Capacity_req_mAh,Optimization
Medical Pacemaker,2.8,0.01,87600,876.0,Minimum active material mass
LED Flashlight,1.5,400.0,2.0,800.0,Maximum specific capacity (mAh/kg)
IoT Sensor / Coin Cell,3.0,0.1,8760,876.0,Minimum mass and volume
