# Battery Design Quick Reference
# Student:,"Anthony, Schuyler"
# Generated:,2026-05-06 21:52

# MATERIALS
Code,Element_Name,Symbol,E_standard_V,Element_MW_g_per_mol,Use_as_ANODE,Compound_Formula,Compound_MW_g_per_mol,Use_as_CATHODE,Half_Reaction_reduction,n_electrons
Li,Lithium,Li,-3.05,6.941,"Li metal, elemental",Li⁺(aq),6.941,Li⁺ sourced from LiPF₆ electrolyte; use Li MW,Li⁺(aq) + e⁻ → Li(s),1
Au,Gold,Au,1.5,196.967,"Au metal, elemental",AuCl₃,303.325,Au³⁺ sourced from AuCl₃ solution,Au³⁺(aq) + 3e⁻ → Au(s),3
Ni,Nickel,Ni,-0.25,58.693,"Ni metal, elemental",NiSO₄,154.756,Ni²⁺ sourced from NiSO₄ solution,Ni²⁺(aq) + 2e⁻ → Ni(s),2
Pb,Lead,Pb,-0.13,207.2,"Pb metal, elemental",Pb(NO₃)₂,331.208,Pb²⁺ sourced from Pb(NO₃)₂ solution,Pb²⁺(aq) + 2e⁻ → Pb(s),2

# ALL 12 CELL COMBINATIONS
Anode,Cathode,E_cell_V,Cell_Type,n_electrons,Anode_coeff,Cathode_coeff,Active_mass_g_per_mol,Capacity_mAh_per_kg,Energy_density_Wh_per_kg
Li,Au,4.55,Galvanic,3,3,1,324.148,248048.0,1128.6
Li,Pb,2.92,Galvanic,2,2,1,345.09,155330.0,453.6
Li,Ni,2.8,Galvanic,2,2,1,168.638,317857.0,890.0
Ni,Au,1.75,Galvanic,6,3,2,782.729,205446.0,359.5
Pb,Au,1.63,Galvanic,6,3,2,1228.25,130925.0,213.4
Ni,Pb,0.12,Galvanic,2,1,1,389.901,137478.0,16.5
Pb,Ni,-0.12,Electrolytic,,,,,,
Au,Pb,-1.63,Electrolytic,,,,,,
Au,Ni,-1.75,Electrolytic,,,,,,
Ni,Li,-2.8,Electrolytic,,,,,,
Pb,Li,-2.92,Electrolytic,,,,,,
Au,Li,-4.55,Electrolytic,,,,,,

# APPLICATIONS
Application,Target_Voltage_V,Current_mA,Runtime_h,Capacity_req_mAh,Optimization
Medical Pacemaker,2.8,0.01,87600,876.0,Minimum active material mass
LED Flashlight,1.5,400.0,2.0,800.0,Maximum specific capacity (mAh/kg)
IoT Sensor / Coin Cell,3.0,0.1,8760,876.0,Minimum mass and volume
