# Battery Design Quick Reference
# Student:,"Chauhan, Garima"
# Generated:,2026-05-06 21:52

# MATERIALS
Code,Element_Name,Symbol,E_standard_V,Element_MW_g_per_mol,Use_as_ANODE,Compound_Formula,Compound_MW_g_per_mol,Use_as_CATHODE,Half_Reaction_reduction,n_electrons
Mg,Magnesium,Mg,-2.37,24.305,"Mg metal, elemental",MgSO₄,120.366,Mg²⁺ sourced from MgSO₄ solution,Mg²⁺(aq) + 2e⁻ → Mg(s),2
Ag,Silver,Ag,0.8,107.868,"Ag metal, elemental",AgNO₃,169.872,Ag⁺ sourced from AgNO₃ solution,Ag⁺(aq) + e⁻ → Ag(s),1
Sn,Tin,Sn,-0.14,118.71,"Sn metal, elemental",SnCl₂,189.616,Sn²⁺ sourced from SnCl₂ solution,Sn²⁺(aq) + 2e⁻ → Sn(s),2
Fe3,Iron(III) / Iron(II),Fe³⁺/Fe²⁺,0.77,55.845,Fe²⁺ → Fe³⁺ in solution; use Fe MW (no solid anode),FeCl₃,162.204,Fe³⁺ sourced from FeCl₃ solution,Fe³⁺(aq) + e⁻ → Fe²⁺(aq),1

# ALL 12 CELL COMBINATIONS
Anode,Cathode,E_cell_V,Cell_Type,n_electrons,Anode_coeff,Cathode_coeff,Active_mass_g_per_mol,Capacity_mAh_per_kg,Energy_density_Wh_per_kg
Mg,Ag,3.17,Galvanic,2,1,2,364.049,147241.0,466.8
Mg,Fe3,3.14,Galvanic,2,1,2,348.713,153716.0,482.7
Mg,Sn,2.23,Galvanic,2,1,1,213.921,250573.0,558.8
Sn,Ag,0.94,Galvanic,2,1,2,458.454,116921.0,109.9
Sn,Fe3,0.91,Galvanic,2,1,2,443.118,120967.0,110.1
Fe3,Ag,0.03,Galvanic,1,1,1,225.717,118739.0,3.6
Ag,Fe3,-0.03,Electrolytic,,,,,,
Fe3,Sn,-0.91,Electrolytic,,,,,,
Ag,Sn,-0.94,Electrolytic,,,,,,
Sn,Mg,-2.23,Electrolytic,,,,,,
Fe3,Mg,-3.14,Electrolytic,,,,,,
Ag,Mg,-3.17,Electrolytic,,,,,,

# APPLICATIONS
Application,Target_Voltage_V,Current_mA,Runtime_h,Capacity_req_mAh,Optimization
Medical Pacemaker,2.8,0.01,87600,876.0,Minimum active material mass
LED Flashlight,1.5,400.0,2.0,800.0,Maximum specific capacity (mAh/kg)
IoT Sensor / Coin Cell,3.0,0.1,8760,876.0,Minimum mass and volume
