# Battery Design Quick Reference
# Student:,"Rohana, Jule"
# Generated:,2026-05-06 21:52

# MATERIALS
Code,Element_Name,Symbol,E_standard_V,Element_MW_g_per_mol,Use_as_ANODE,Compound_Formula,Compound_MW_g_per_mol,Use_as_CATHODE,Half_Reaction_reduction,n_electrons
K,Potassium,K,-2.92,39.098,"K metal, elemental",KCl,74.551,K⁺ sourced from KCl solution,K⁺(aq) + e⁻ → K(s),1
MnO2,Manganese dioxide,MnO₂,1.23,86.937,Mn²⁺ oxidised to MnO₂; use MnO₂ MW,MnO₂,86.937,MnO₂ solid reduced; use MnO₂ MW,MnO₂(s) + 4H⁺ + 2e⁻ → Mn²⁺(aq) + 2H₂O,2
Pb,Lead,Pb,-0.13,207.2,"Pb metal, elemental",Pb(NO₃)₂,331.208,Pb²⁺ sourced from Pb(NO₃)₂ solution,Pb²⁺(aq) + 2e⁻ → Pb(s),2
I2,Iodine,I₂,0.54,253.809,I⁻ oxidised to I₂; use I₂ MW,I₂(s),253.809,I₂ solid reduced to I⁻; use I₂ MW,I₂(s) + 2e⁻ → 2I⁻(aq),2

# ALL 12 CELL COMBINATIONS
Anode,Cathode,E_cell_V,Cell_Type,n_electrons,Anode_coeff,Cathode_coeff,Active_mass_g_per_mol,Capacity_mAh_per_kg,Energy_density_Wh_per_kg
K,MnO2,4.15,Galvanic,2,2,1,165.133,324604.0,1347.1
K,I2,3.46,Galvanic,2,2,1,332.005,161452.0,558.6
K,Pb,2.79,Galvanic,2,2,1,409.404,130929.0,365.3
Pb,MnO2,1.36,Galvanic,2,1,1,294.137,182237.0,247.8
I2,MnO2,0.69,Galvanic,2,1,1,340.746,157310.0,108.5
Pb,I2,0.67,Galvanic,2,1,1,461.009,116273.0,77.9
I2,Pb,-0.67,Electrolytic,,,,,,
MnO2,I2,-0.69,Electrolytic,,,,,,
MnO2,Pb,-1.36,Electrolytic,,,,,,
Pb,K,-2.79,Electrolytic,,,,,,
I2,K,-3.46,Electrolytic,,,,,,
MnO2,K,-4.15,Electrolytic,,,,,,

# APPLICATIONS
Application,Target_Voltage_V,Current_mA,Runtime_h,Capacity_req_mAh,Optimization
Medical Pacemaker,2.8,0.01,87600,876.0,Minimum active material mass
LED Flashlight,1.5,400.0,2.0,800.0,Maximum specific capacity (mAh/kg)
IoT Sensor / Coin Cell,3.0,0.1,8760,876.0,Minimum mass and volume
