# Battery Design Quick Reference
# Student:,"Wong, Alvin"
# Generated:,2026-05-06 21:52

# MATERIALS
Code,Element_Name,Symbol,E_standard_V,Element_MW_g_per_mol,Use_as_ANODE,Compound_Formula,Compound_MW_g_per_mol,Use_as_CATHODE,Half_Reaction_reduction,n_electrons
Mg,Magnesium,Mg,-2.37,24.305,"Mg metal, elemental",MgSO₄,120.366,Mg²⁺ sourced from MgSO₄ solution,Mg²⁺(aq) + 2e⁻ → Mg(s),2
Fe3,Iron(III) / Iron(II),Fe³⁺/Fe²⁺,0.77,55.845,Fe²⁺ → Fe³⁺ in solution; use Fe MW (no solid anode),FeCl₃,162.204,Fe³⁺ sourced from FeCl₃ solution,Fe³⁺(aq) + e⁻ → Fe²⁺(aq),1
Zn,Zinc,Zn,-0.76,65.38,"Zn metal, elemental",ZnCl₂,136.286,Zn²⁺ sourced from ZnCl₂ solution,Zn²⁺(aq) + 2e⁻ → Zn(s),2
Au,Gold,Au,1.5,196.967,"Au metal, elemental",AuCl₃,303.325,Au³⁺ sourced from AuCl₃ solution,Au³⁺(aq) + 3e⁻ → Au(s),3

# ALL 12 CELL COMBINATIONS
Anode,Cathode,E_cell_V,Cell_Type,n_electrons,Anode_coeff,Cathode_coeff,Active_mass_g_per_mol,Capacity_mAh_per_kg,Energy_density_Wh_per_kg
Mg,Au,3.87,Galvanic,6,3,2,679.565,236634.0,915.8
Mg,Fe3,3.14,Galvanic,2,1,2,348.713,153716.0,482.7
Zn,Au,2.26,Galvanic,6,3,2,802.79,200312.0,452.7
Mg,Zn,1.61,Galvanic,2,1,1,160.591,333784.0,537.4
Zn,Fe3,1.53,Galvanic,2,1,2,389.788,137518.0,210.4
Fe3,Au,0.73,Galvanic,3,3,1,470.86,170760.0,124.7
Au,Fe3,-0.73,Electrolytic,,,,,,
Fe3,Zn,-1.53,Electrolytic,,,,,,
Zn,Mg,-1.61,Electrolytic,,,,,,
Au,Zn,-2.26,Electrolytic,,,,,,
Fe3,Mg,-3.14,Electrolytic,,,,,,
Au,Mg,-3.87,Electrolytic,,,,,,

# APPLICATIONS
Application,Target_Voltage_V,Current_mA,Runtime_h,Capacity_req_mAh,Optimization
Medical Pacemaker,2.8,0.01,87600,876.0,Minimum active material mass
LED Flashlight,1.5,400.0,2.0,800.0,Maximum specific capacity (mAh/kg)
IoT Sensor / Coin Cell,3.0,0.1,8760,876.0,Minimum mass and volume
