# Battery Design Quick Reference
# Student:,"Zhang, Javen"
# Generated:,2026-05-06 21:52

# MATERIALS
Code,Element_Name,Symbol,E_standard_V,Element_MW_g_per_mol,Use_as_ANODE,Compound_Formula,Compound_MW_g_per_mol,Use_as_CATHODE,Half_Reaction_reduction,n_electrons
Li,Lithium,Li,-3.05,6.941,"Li metal, elemental",Li⁺(aq),6.941,Li⁺ sourced from LiPF₆ electrolyte; use Li MW,Li⁺(aq) + e⁻ → Li(s),1
I2,Iodine,I₂,0.54,253.809,I⁻ oxidised to I₂; use I₂ MW,I₂(s),253.809,I₂ solid reduced to I⁻; use I₂ MW,I₂(s) + 2e⁻ → 2I⁻(aq),2
Pb,Lead,Pb,-0.13,207.2,"Pb metal, elemental",Pb(NO₃)₂,331.208,Pb²⁺ sourced from Pb(NO₃)₂ solution,Pb²⁺(aq) + 2e⁻ → Pb(s),2
MnO2,Manganese dioxide,MnO₂,1.23,86.937,Mn²⁺ oxidised to MnO₂; use MnO₂ MW,MnO₂,86.937,MnO₂ solid reduced; use MnO₂ MW,MnO₂(s) + 4H⁺ + 2e⁻ → Mn²⁺(aq) + 2H₂O,2

# ALL 12 CELL COMBINATIONS
Anode,Cathode,E_cell_V,Cell_Type,n_electrons,Anode_coeff,Cathode_coeff,Active_mass_g_per_mol,Capacity_mAh_per_kg,Energy_density_Wh_per_kg
Li,MnO2,4.28,Galvanic,2,2,1,100.819,531673.0,2275.6
Li,I2,3.59,Galvanic,2,2,1,267.691,200241.0,718.9
Li,Pb,2.92,Galvanic,2,2,1,345.09,155330.0,453.6
Pb,MnO2,1.36,Galvanic,2,1,1,294.137,182237.0,247.8
I2,MnO2,0.69,Galvanic,2,1,1,340.746,157310.0,108.5
Pb,I2,0.67,Galvanic,2,1,1,461.009,116273.0,77.9
I2,Pb,-0.67,Electrolytic,,,,,,
MnO2,I2,-0.69,Electrolytic,,,,,,
MnO2,Pb,-1.36,Electrolytic,,,,,,
Pb,Li,-2.92,Electrolytic,,,,,,
I2,Li,-3.59,Electrolytic,,,,,,
MnO2,Li,-4.28,Electrolytic,,,,,,

# APPLICATIONS
Application,Target_Voltage_V,Current_mA,Runtime_h,Capacity_req_mAh,Optimization
Medical Pacemaker,2.8,0.01,87600,876.0,Minimum active material mass
LED Flashlight,1.5,400.0,2.0,800.0,Maximum specific capacity (mAh/kg)
IoT Sensor / Coin Cell,3.0,0.1,8760,876.0,Minimum mass and volume
